TAS_SOURCE_ID,PLANT_ID,COMPANY_ID,VEND_NM,VENDOR_ID,SUPPLIER_TYPE,SUPPLYING_PLANT,PURCHASE_GROUP_ID,PURCHASING_GROUP_NAME,PURCHASE_ORDER_TYPE_ID,PURCHASE_ORDER_TYPE_DESCRIPTION,PURCHASE_ORDER_HEADER_CREATION_DATE,PURCHASE_ORDER_ID,PURCHASE_ORDER_ITEM_ID,PURCHASE_ORDER_SCHED_LINE_ID,MATERIAL_GROUP,MATERIAL_GROUP_DESCRIPTION,MATERIAL_ID,MATERIAL_NUMBER,PRFT_CNTR_ID,PO_SCHD_LINE_QTY,RECEIVED_QTY,SHIPPED_NOT_RECEIVED_QTY,STATISTICS_RELEVANT_DATE,PO_SCHD_LINE_DELIVERY_DATE,PO_COMMIT_DT,EXCPTN_MSG_NUM,EXCPTN_MSG_DESC,EXCPTN_RSCHD_DT,OPEN_QTY,OPEN_SUPPLYING_PLANT_QTY,OPEN_VALUE_IN_DC,OPEN_VALUE_IN_USD,DOCUMENT_CURRENCY,OVERRIDE_DATE,TRADE_OFF_ZONE,DWH_CHANGE_DATE,ELIKZ_EKPO,MENGE_EKPO,LOEKZ_EKPO,LOEKZ_EKKO,MENGE_EKET,WEMNG_EKET,STATU_EKKO,EREKZ_EKPO_FINALINVIND,EGLKZ_EKPO_OUTWARDDELCOMPLETEIND,REASON_FOR_CANCELLATION
SAP01,P100,CO-SAP01,Safran SA,V1004,Intercompany,,PG4,MRO Procurement,FO,Framework Order,2025-01-03,4571586053,50,3,MG01,Raw Materials,MAT00018,1000018,PC-3287,438.0,110.0,12.0,2026-03-15,2026-10-18,2025-09-27,12,Cancel,2026-07-24,328.0,59.0,1076049.92,1076049.92,USD,,3,2025-09-18 15:05:48,,438.0,,,438.0,110.0,,,,
SAP01,P700,CO-SAP01,TransDigm Group,V1010,Subcontractor,P900,PG4,MRO Procurement,ZNB,Subcontracting,2025-11-24,4545812670,110,1,MG02,Machined Parts,MAT00039,1000039,PC-5808,486.0,335.0,22.0,2026-01-19,2026-05-09,2025-01-04,07,Expedite,2026-09-17,151.0,69.0,10160.79,11506.08,CNY,,14,2026-03-07 20:32:38,,486.0,,,486.0,335.0,,X,,
SAP02,P900,CO-SAP02,Heico Corp,V1009,External,P200,PG4,MRO Procurement,FO,Framework Order,2025-06-07,4575228535,30,5,MG01,Raw Materials,MAT00002,1000002,PC-3060,120.0,23.0,6.0,2026-01-30,2026-06-07,2025-06-19,07,Expedite,2026-08-05,97.0,47.0,275587.67,275587.67,USD,,29,2026-01-22 23:44:12,X,120.0,,,120.0,23.0,5,X,X,
SAP02,P900,CO-SAP02,Ducommun Inc,V1008,External,P400,PG2,Electronics Procurement,UB,Stock Transfer,2024-06-22,4519046318,20,3,MG02,Machined Parts,MAT00005,1000005,PC-2160,277.0,130.0,26.0,2025-10-21,2026-10-29,2026-05-13,06,Expedite,,147.0,69.0,6744.36,7585.38,GBP,,25,2025-05-05 15:51:26,,277.0,,,277.0,130.0,,,X,
SAP02,P600,CO-SAP02,Spirit AeroSystems,V1007,External,P900,PG1,Structures Procurement,ZNB,Subcontracting,2024-09-09,4570211891,50,4,MG07,Bearings,MAT00044,1000044,PC-4006,202.0,55.0,14.0,2025-10-06,2026-02-01,2025-03-19,10,Expedite,,147.0,48.0,633533.25,537996.44,MXN,,29,2026-03-05 00:05:59,,202.0,,,202.0,55.0,,X,X,
SAP03,P800,CO-SAP03,Safran SA,V1004,Subcontractor,P900,PG2,Electronics Procurement,NB,Standard PO,2025-07-05,4598834863,160,2,MG07,Bearings,MAT00025,1000025,PC-4111,463.0,291.0,15.0,2025-06-30,2026-05-16,2025-03-04,07,,,172.0,41.0,246543.08,246543.08,USD,,28,2025-03-22 01:32:05,,463.0,,,463.0,291.0,,,,
SAP01,P700,CO-SAP01,Honeywell Aerospace,V1002,External,P500,PG5,Raw Materials Procurement,NB,Standard PO,2026-01-19,4563121477,50,3,MG04,Electronic Components,MAT00006,1000006,PC-8491,262.0,196.0,16.0,2026-06-20,2026-10-17,2025-03-16,,Cancel,2026-10-16,66.0,33.0,67930.5,76741.09,CNY,,-1,2025-10-03 06:32:16,,262.0,,,262.0,196.0,5,,,
SAP02,P600,CO-SAP02,MTU Aero Engines,V1005,External,P300,PG5,Raw Materials Procurement,ZNB,Subcontracting,2026-02-17,4545496015,40,1,MG03,Castings & Forgings,MAT00046,1000046,PC-3546,265.0,142.0,14.0,2026-04-06,2026-12-01,2025-08-04,07,Bring forward,2026-05-16,123.0,31.0,341628.81,430144.83,GBP,,11,2026-03-10 01:05:40,X,265.0,,,265.0,142.0,5,,,
SAP02,P600,CO-SAP02,GE Aviation,V1003,Subcontractor,P100,PG4,MRO Procurement,UB,Stock Transfer,2025-08-12,4559555330,190,5,MG05,Fasteners & Hardware,MAT00036,1000036,PC-3426,6.0,0.0,21.0,2025-06-22,2026-10-15,2025-11-12,07,,2026-04-18,6.0,2.0,26500.2,32923.85,MXN,,1,2025-07-01 17:56:55,X,6.0,,,6.0,0.0,9,,,
SAP02,P300,CO-SAP02,GE Aviation,V1003,External,P700,PG2,Electronics Procurement,NB,Standard PO,2025-07-27,4515197528,160,2,MG07,Bearings,MAT00048,1000048,PC-4269,432.0,280.0,41.0,2026-01-22,2026-12-09,2025-12-25,07,Bring forward,,152.0,50.0,203886.72,239036.79,GBP,,20,2025-06-18 08:55:04,X,432.0,,,432.0,280.0,5,X,X,
