TAS_SOURCE_ID,SNAPSHOT_ID,SNAPSHOT_TYPE,MATERIAL_NUMBER,MATERIAL_ID,MATERIAL_DESCRIPTION,MATERIAL_TYPE,PLANT_ID,PLANT_NAME,COMPANY_CODE,PROFIT_CENTER,OE_SPARES_MRO,SEGMENT,LTB,LIFE_CYCLE,DCM_CLASS,NO_ABC,EXCHANGE_RATE,CURRENCY,STANDARD_PRICE_LC,STANDARD_PRICE_USD,PROCUREMENT_TYPE,MRP_CONTROLLER_ID,VALUATION_TYPE,MRP_GROUP,MATERIAL_GROUP_4_ID,MATERIAL_GROUP_5_ID,CURRENT_EMP_POLICY,ON_HAND_QTY,ON_HAND_VALUE_LC,ON_HAND_VALUE_USD,IN_TRANSIT_QTY,IN_TRANSIT_VALUE_USD,BLOCKED_QTY,QI_QTY,SAFETY_STOCK_QTY,REORDER_POINT_QTY,AVG_MONTHLY_DEMAND,AVG_MONTHLY_DEMAND_VALUE_USD,EXCESS_QTY,EXCESS_VALUE_USD,SLOW_MOVING_QTY,OBSOLETE_QTY,MONTHS_ON_HAND,DAYS_ON_HAND,LEAD_TIME_DAYS
SAP03,SNAP-20260115,WEEKLY,1000031,MAT00031,Part assembly F-31,FERT,P500,Singapore,CO-SAP03,PC-3306,OE,Power & Controls,,Obsolete,A,B,0.9355,EUR,2240.95,2096.41,E,MRP-370,REPAIRED,GRP-4,MG4-565,MG5-477,MRP,749.0,52432.28,76205.1,128.0,18573.68,34.0,14.0,124.0,283.0,32.8,30504.11,130.0,63540.39,46.0,35.0,23.4,126.0,13.0
SAP01,SNAP-20260310,MONTHLY,1000020,MAT00020,Part assembly U-20,HIBE,P100,Windsor Locks,CO-SAP01,PC-8432,Spares,Avionics,N,Phase Out,D,C,0.8939,EUR,352.78,315.35,E,MRP-953,NEW,GRP-20,MG4-517,MG5-386,MIN-MAX,690.0,43453.94,88939.17,47.0,18134.3,49.0,11.0,180.0,193.0,6.06,13794.07,194.0,94901.08,82.0,5.0,7.6,691.0,175.0
SAP01,SNAP-20260314,MONTHLY,1000022,MAT00022,Part assembly W-22,FERT,P100,Windsor Locks,CO-SAP01,PC-4394,MRO,Mission Systems,Y,Obsolete,B,C,1.0,USD,2966.52,2966.52,E,MRP-383,,GRP-5,MG4-653,MG5-356,MIN-MAX,110.0,173289.58,26360.65,72.0,39421.58,29.0,0.0,53.0,38.0,42.1,5682.47,13.0,44827.52,36.0,30.0,16.3,239.0,113.0
SAP02,SNAP-20260303,WEEKLY,1000020,MAT00020,Part assembly U-20,HIBE,P900,Mexicali,CO-SAP02,PC-2768,Spares,Power & Controls,Y,Active,C,C,0.8125,EUR,1931.81,1569.6,E,MRP-167,,GRP-9,MG4-739,MG5-748,MRP,548.0,65037.09,198925.55,106.0,22685.77,30.0,3.0,140.0,256.0,65.09,38448.14,144.0,21502.31,45.0,11.0,12.2,490.0,78.0
SAP01,SNAP-20260120,WEEKLY,1000021,MAT00021,Part assembly V-21,FERT,P200,Rockford,CO-SAP01,PC-2494,OE,Aerostructures,N,Active,C,A,0.902,EUR,941.01,848.79,X,MRP-161,REPAIRED,GRP-18,MG4-675,MG5-437,MRP,122.0,70719.62,133068.1,150.0,43404.61,36.0,29.0,120.0,105.0,57.79,10636.94,131.0,22424.49,11.0,42.0,13.2,824.0,105.0
SAP01,SNAP-20260104,WEEKLY,1000036,MAT00036,Part assembly K-36,FERT,P700,Wolverhampton,CO-SAP01,PC-3955,Spares,Interiors,N,Obsolete,A,A,1.0571,GBP,1842.65,1947.87,E,MRP-679,REPAIRED,GRP-13,MG4-171,MG5-245,MRP,633.0,6131.42,149222.35,43.0,20991.62,17.0,11.0,144.0,233.0,56.76,4247.85,11.0,15740.99,62.0,34.0,9.8,715.0,90.0
SAP03,SNAP-20260214,WEEKLY,1000027,MAT00027,Part assembly B-27,FERT,P800,Suzhou,CO-SAP03,PC-5640,MRO,Avionics,N,Obsolete,A,A,1.0049,EUR,650.63,653.82,F,MRP-713,,GRP-1,MG4-309,MG5-408,MIN-MAX,767.0,152832.18,57889.43,24.0,24869.27,22.0,4.0,107.0,69.0,55.87,33402.41,71.0,39707.12,74.0,22.0,16.6,84.0,60.0
SAP01,SNAP-20260115,WEEKLY,1000037,MAT00037,Part assembly L-37,FERT,P700,Wolverhampton,CO-SAP01,PC-6321,OE,Avionics,N,Obsolete,A,B,0.9671,EUR,2129.95,2059.87,E,MRP-349,NEW,GRP-19,MG4-510,MG5-636,MIN-MAX,396.0,62054.91,67902.66,67.0,8406.64,26.0,3.0,102.0,272.0,34.94,36368.96,164.0,81503.7,24.0,7.0,7.1,651.0,138.0
SAP01,SNAP-20260316,WEEKLY,1000012,MAT00012,Part assembly M-12,ERSA,P200,Rockford,CO-SAP01,PC-6295,MRO,Interiors,Y,New Introduction,A,B,1.1018,GBP,1484.88,1636.04,F,MRP-746,NEW,GRP-9,MG4-705,MG5-157,REORDER POINT,507.0,62081.57,90382.77,11.0,41584.83,4.0,26.0,171.0,185.0,50.71,23135.58,111.0,79181.78,90.0,22.0,29.2,704.0,61.0
SAP03,SNAP-20260227,MONTHLY,1000033,MAT00033,Part assembly H-33,ROH,P800,Suzhou,CO-SAP03,PC-2381,MRO,Mission Systems,Y,Phase Out,D,B,1.0,USD,2873.38,2873.38,X,MRP-635,REPAIRED,GRP-6,MG4-472,MG5-481,REORDER POINT,387.0,154892.96,135779.54,10.0,31544.33,17.0,10.0,112.0,116.0,25.2,42578.31,193.0,60270.08,15.0,4.0,23.9,990.0,59.0
