SRC,MATL_ID,PLANT_ID,TAS_SRC_ID,BASE_UOM_CD,TOT_DMND_QTY,TOT_DMND_VAL_USD,CUR_MNTH_DMND_QTY,CUR_MNTH_DMND_VAL_USD,AVG_3M_DMND_QTY,AVG_6M_DMND_QTY,AVG_12M_DMND_QTY,FCST_NXT_3M_QTY,FCST_NXT_6M_QTY,FCST_NXT_12M_QTY,LAST_ISSUE_DT,LAST_RECEIPT_DT,DAYS_SINCE_LAST_DMND,ADJ_AVG_DMND_QTY,PEAK_DMND_QTY,MIN_DMND_QTY,DMND_VARIABILITY_PCT,DMND_TREND,DWH_CHANGE_DATE
SAP03,MAT00023,P800,SAP03,L,49.0,72199.39,36.0,1343.49,2.68,35.54,1.02,51.0,33.0,400.0,2026-01-15,2025-05-05,264,10.47,40.0,11.0,95.8,DOWN,2026-02-13 12:40:11
SAP02,MAT00041,P300,SAP02,L,198.0,73738.84,71.0,8991.5,25.77,0.22,9.67,42.0,211.0,398.0,2025-10-23,2025-02-22,274,11.22,72.0,9.0,26.2,SEASONAL,2025-09-28 20:20:38
SAP01,MAT00040,P700,SAP01,L,294.0,34792.46,68.0,12347.25,48.82,35.3,13.39,92.0,25.0,67.0,2025-03-02,2025-05-03,156,7.02,81.0,3.0,38.8,DOWN,2025-10-22 12:27:11
SAP03,MAT00041,P800,SAP03,KG,277.0,48964.2,11.0,6291.6,27.06,2.68,16.16,1.0,41.0,408.0,2025-10-15,2025-09-16,334,29.7,140.0,8.0,84.0,SEASONAL,2025-03-27 02:36:01
SAP01,MAT00019,P400,SAP01,EA,137.0,53760.86,13.0,9146.43,44.55,38.3,24.74,17.0,34.0,388.0,2026-02-26,2025-07-07,277,49.36,18.0,14.0,54.6,SEASONAL,2025-02-22 23:53:41
SAP01,MAT00020,P400,SAP01,EA,225.0,34857.7,65.0,8781.4,59.64,38.78,10.66,122.0,176.0,175.0,2025-12-30,2025-11-09,323,25.69,127.0,16.0,81.4,UP,2025-10-19 11:34:17
SAP01,MAT00035,P010,SAP01,KG,162.0,70405.38,23.0,5346.86,51.48,49.27,30.57,14.0,289.0,393.0,2025-01-31,2025-05-22,335,7.61,175.0,5.0,71.1,DOWN,2026-01-25 21:25:31
SAP02,MAT00037,P300,SAP02,M,314.0,37517.23,6.0,15891.97,46.13,20.14,33.74,104.0,263.0,227.0,2025-09-07,2025-06-17,297,0.15,157.0,15.0,73.1,SEASONAL,2025-11-22 21:44:22
SAP01,MAT00035,P200,SAP01,L,109.0,42964.31,17.0,5370.74,49.7,16.89,26.01,85.0,146.0,172.0,2025-12-16,2026-01-26,24,2.76,129.0,17.0,1.6,DOWN,2025-08-14 14:00:27
SAP01,MAT00045,P400,SAP01,KG,441.0,30186.55,70.0,17531.9,5.6,18.02,3.71,100.0,195.0,26.0,2025-11-17,2025-06-06,358,45.31,92.0,2.0,9.5,DOWN,2025-09-02 02:08:37
SAP01,MAT00034,P400,SAP01,L,5.0,69559.71,65.0,19763.1,25.34,6.61,3.19,57.0,219.0,51.0,2025-06-10,2025-07-08,153,8.23,157.0,15.0,13.3,DOWN,2025-02-05 16:36:00
SAP01,MAT00042,P010,SAP01,KG,220.0,72243.2,50.0,3027.48,24.7,34.33,38.7,13.0,30.0,376.0,2025-10-29,2026-01-09,196,21.09,92.0,16.0,24.8,UP,2025-05-08 17:38:38
SAP01,MAT00019,P010,SAP01,EA,424.0,65840.54,24.0,10354.98,30.57,37.39,13.3,8.0,269.0,477.0,2025-09-11,2025-07-17,57,14.46,131.0,1.0,88.9,UP,2025-07-04 10:08:24
SAP01,MAT00027,P010,SAP01,M,273.0,17277.03,38.0,19747.33,4.38,29.37,0.62,32.0,277.0,474.0,2025-07-23,2025-09-17,146,37.71,105.0,8.0,70.2,UP,2025-11-24 17:34:39
SAP02,MAT00018,P300,SAP02,EA,155.0,51130.47,16.0,16161.2,32.18,19.54,28.54,125.0,204.0,33.0,2025-12-24,2025-08-12,122,3.47,26.0,9.0,45.3,UP,2025-06-08 21:47:42
SAP02,MAT00008,P300,SAP02,EA,354.0,70149.96,13.0,19060.32,31.38,39.15,32.43,25.0,38.0,391.0,2025-05-18,2026-01-11,60,46.29,16.0,16.0,27.2,UP,2025-05-15 22:36:40
SAP01,MAT00032,P200,SAP01,L,255.0,5543.91,69.0,3337.63,9.44,38.67,40.24,101.0,35.0,370.0,2025-01-02,2025-01-23,6,14.67,100.0,8.0,15.0,UP,2025-10-11 22:47:41
SAP01,MAT00015,P700,SAP01,M,124.0,91585.48,26.0,16519.94,34.29,5.97,30.3,8.0,67.0,258.0,2025-01-24,2025-07-25,35,52.62,175.0,15.0,31.1,UP,2025-10-11 14:00:23
SAP01,MAT00019,P400,SAP01,M,370.0,24258.4,29.0,19437.15,59.87,38.79,32.96,82.0,239.0,75.0,2025-07-29,2025-01-13,119,32.49,131.0,14.0,1.0,STABLE,2025-01-01 21:24:54
SAP03,MAT00007,P500,SAP03,KG,265.0,23816.76,39.0,1197.9,59.82,35.58,4.19,138.0,269.0,260.0,2025-12-25,2025-07-10,234,58.47,26.0,2.0,13.4,SEASONAL,2025-02-08 18:36:03
SAP01,MAT00043,P700,SAP01,KG,118.0,26099.09,25.0,16016.34,42.04,36.77,14.31,41.0,22.0,101.0,2026-02-04,2026-01-30,299,6.54,30.0,9.0,31.4,UP,2025-10-02 11:49:13
SAP03,MAT00020,P800,SAP03,L,133.0,11991.36,13.0,13721.1,49.58,34.84,1.81,125.0,98.0,46.0,2025-05-08,2025-07-02,202,30.81,139.0,5.0,99.1,UP,2025-07-27 14:35:47
SAP02,MAT00016,P900,SAP02,EA,231.0,80389.68,11.0,239.14,49.82,49.13,5.88,124.0,112.0,315.0,2025-11-27,2025-02-13,298,35.17,184.0,1.0,99.7,DOWN,2025-11-27 14:51:08
SAP01,MAT00022,P200,SAP01,EA,21.0,46099.49,13.0,11477.68,49.3,19.75,1.33,102.0,52.0,107.0,2025-04-06,2025-05-21,143,26.76,38.0,12.0,61.7,STABLE,2025-09-13 13:56:35
SAP03,MAT00004,P800,SAP03,EA,140.0,13723.6,16.0,17693.05,31.55,31.54,36.1,119.0,297.0,391.0,2025-07-03,2025-09-03,278,46.89,75.0,11.0,32.2,STABLE,2025-04-03 00:20:38
